<TIMESTAMP>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1484292240,790.03,790.03,790.03,790.03,31.6012
1484292300,790.03,793.5,790.03,790.46,29073.35547
1484292360,790.5,792.11,790.5,790.57,303.53469905
1484292420,792.11,792.11,790.0,790.0,3612.6734768
1484292480,790.14,790.14,788.58,788.58,1896.6532634
1484292540,788.58,788.58,788.58,788.58,770.73466329
1484292600,788.58,788.58,788.58,788.58,15.7716
1484292660,788.58,788.58,788.58,788.58,15.7716
1484292720,788.58,788.58,788.58,788.58,15.7716
1484292780,788.58,788.58,788.58,788.58,7.8858
1484292840,788.62,791.26,788.62,791.26,2854.749494
1484292900,788.62,791.26,788.62,791.26,2854.749494
1484292960,789.93,789.93,789.93,789.93,7.8993
1484293020,789.92,789.92,788.0,788.0,3785.6333479
1484293080,789.92,789.92,788.0,788.0,3785.6333479
1484293140,787.57,787.57,787.57,787.57,15.7514
1484293200,787.56,787.56,785.19,785.2,4572.752197600001
1484293260,785.22,785.22,785.22,785.22,612.4716
1484293320,785.22,785.22,785.21,785.21,4281.5315125
1484293380,785.22,785.22,785.21,785.21,4281.5315125
1484293440,785.29,785.3,785.29,785.3,39.2649
1484293500,785.48,786.6,785.48,786.6,6479.871156
1484293560,786.62,788.7,786.62,788.7,4231.389026
1484293620,786.43,786.7,786.43,786.7,5780.566857100001
1484293680,786.6,786.7,786.41,786.41,55.0545
1484293740,786.69,786.7,785.0,785.0,9329.7069812
1484293800,786.43,786.44,786.17,786.17,1546.6652729
1484293860,786.43,786.44,786.17,786.17,1546.6652729
1484293920,786.42,786.8,786.26,786.8,2375.2363304
1484293980,786.29,786.8,786.29,786.8,78.6597
1484294040,786.28,786.28,785.0,785.0,3535.8515833000006
1484294100,785.46,788.2,785.46,788.2,6263.613082600001
1484294160,788.28,788.69,786.9,786.9,481.04715099
1484294220,786.9,787.3,786.9,787.3,2628.9227031
1484294280,786.9,787.3,786.9,787.3,2628.9227031
1484294340,787.24,788.7,784.96,785.04,12944.949819
1484294400,785.0,785.83,785.0,785.83,132.72310849
1484294460,785.0,785.0,785.0,785.0,235.5
1484294520,785.0,788.0,785.0,788.0,4024.5265
1484294580,788.06,791.48,788.06,791.48,2928.2059695999997
1484294640,791.69,795.24,791.69,795.24,4031.5009932
1484294700,795.0,795.0,789.95,792.65,15300.123858
1484294760,793.28,793.29,793.28,793.29,230.054
1484294820,793.46,794.86,793.46,794.1,190.6482
1484294880,793.67,793.67,793.34,793.34,3609.7848
1484294940,793.21,793.21,792.99,793.0,3891.3237559
1484295000,793.29,793.29,793.29,793.29,10.124680941
1484295060,793.3,794.05,793.3,793.97,5913.628573800001
1484295120,793.37,793.37,793.29,793.29,1039.2107
1484295180,793.3,794.69,793.3,793.31,6286.015186199999
1484295240,793.31,793.31,789.28,792.85,5725.7350405
1484295300,793.31,793.31,789.28,792.85,5725.7350405
1484295360,792.86,794.1,791.52,791.52,596.50619295
1484295420,793.03,793.03,793.03,793.03,79.303
1484295480,793.03,793.04,793.03,793.04,819.6196447000001
1484295540,793.04,793.04,793.04,793.04,446.53155289
1484295600,793.04,793.04,793.04,793.04,446.53155289
1484295660,793.04,793.04,793.04,793.04,997.16436426
1484295720,793.04,793.04,793.04,793.04,15.8608
1484295780,793.04,793.04,793.04,793.04,15.8608
1484295840,793.04,793.04,793.04,793.04,4248.0456464
1484295900,793.04,793.04,790.67,790.67,4546.1394655
1484295960,790.66,790.66,790.63,790.63,962.56083671
1484296020,790.63,790.63,790.63,790.63,7.9063
1484296080,790.63,790.63,790.63,790.63,7.9063
1484296140,790.63,790.67,790.63,790.67,6007.4618202
1484296200,790.67,790.67,790.67,790.67,529.7489
1484296260,790.67,790.67,790.67,790.67,419.0551
1484296320,790.67,790.67,790.67,790.67,419.0551
1484296380,790.67,790.67,790.67,790.67,8879.1134062
1484296440,790.67,790.67,790.67,790.67,8041.1139
1484296500,790.67,790.67,790.67,790.67,13277.286781
1484296560,790.68,790.69,790.68,790.69,1699.9821
1484296620,790.68,790.68,790.68,790.68,276.73879068
1484296680,790.68,792.0,790.68,792.0,6844.0994485
1484296740,790.68,792.0,790.68,792.0,6844.0994485
